introgression_tract,overlapping_gene,gene_name,overlapping_bases,gene_length,percent_introgressed,gene_coordinates,gene_info
NW-022145599.1:9461526-9616405,LOC100893470,sacsin-like,9995,9995,100.0,NW_022145599.1:9567678-9577673, sacsin-duplicate |Sp-SacSl_8|SPU_006655 Manually curated
NW-022145606.1:20579976-20732569,LOC115927635,uncharacterized LOC115927635,837,837,100.0,NW_022145606.1:20662313-20663150, Manually curated
NW-022145606.1:20579976-20732569,LOC115918871,NSFL1 cofactor p47-like,17609,17609,100.0,NW_022145606.1:20591941-20609550, SPU_013294 Manually curated
NW-022145601.1:12223844-12374345,LOC100889722,"lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase-like",1254,1254,100.0,NW_022145601.1:12324297-12325551," Sp-B3galt1_6|Sp-B3gnt5| (Beta-1,3-GalTase 1 | beta-1,3-N-acetylglucosaminyltransferase 5 |UDP-GlcNAc:betaGal beta-1|SPU_000761|SPU_008705 Manually curated"
NW-022145601.1:12223844-12374345,LOC100893698,uncharacterized oxidoreductase YrbE,10942,334,3.0524584171083897,NW_022145601.1:12213236-12224178, Sp-Myo-ino2dhl|SPU_005483 Manually curated
NW-022145594.1:14112211-14261489,LOC105439972,uncharacterized LOC105439972,7780,7780,100.0,NW_022145594.1:14180655-14188435, SPU_003373|Sp-PolppL_33 Manually curated
NW-022145594.1:14112211-14261489,LOC105442937,uncharacterized LOC105442937,15005,15005,100.0,NW_022145594.1:14176690-14191695, Manually curated
NW-022145594.1:14112211-14261489,LOC105442936,uncharacterized LOC105442936,13545,13545,100.0,NW_022145594.1:14210626-14224171, SPU_002397|Sp-Hypp_355 Manually curated
NW-022145598.1:28881226-29030462,LOC105438957,proteoglycan 4-like,13954,13954,100.0,NW_022145598.1:28892224-28906178, Manually curated
NW-022145598.1:28881226-29030462,LOC100890154,endochitinase 2-like,10149,10149,100.0,NW_022145598.1:28925514-28935663, SPU_025809 Manually curated
NW-022145598.1:28881226-29030462,LOC115923264,lactadherin-like,20378,20378,100.0,NW_022145598.1:29008876-29029254, Sp-Echn25|SPU_008145|echinonectin-25 Manually curated
NW-022145594.1:39975019-40120961,LOC592383,toll-like receptor 13,9666,7854,81.25387957790193,NW_022145594.1:39973207-39982873, SPU_024404|Sp-Tlr129 Manually curated
NW-022145594.1:39975019-40120961,LOC115921117,coatomer subunit alpha-like,29961,22139,73.89272721204232,NW_022145594.1:40098822-40128783," Sp-Copa_1| coatomer protein complex, subunit alpha|SPU_025121 Manually curated"
NW-022145607.1:15756136-15899493,LOC115927876,toll-like receptor 4,1017,647,63.61848574237955,NW_022145607.1:15755766-15756783, Manually curated
NW-022145607.1:15756136-15899493,LOC115927877,toll-like receptor 4,807,807,100.0,NW_022145607.1:15757654-15758461, Manually curated
NW-022145607.1:15756136-15899493,LOC115928040,slit homolog 1 protein-like,3078,3078,100.0,NW_022145607.1:15764855-15767933, Manually curated
NW-022145607.1:15756136-15899493,LOC115927878,toll-like receptor 4,2632,2632,100.0,NW_022145607.1:15788467-15791099, Sp-Tlr209|SPU_021075|Sp-Tlr196|SPU_017104 Manually curated
NW-022145607.1:15756136-15899493,LOC591647,dual specificity protein kinase TTK,17196,17032,99.04628983484531,NW_022145607.1:15882461-15899657, Sp-Ttk|SPU_010530 Manually curated
NW-022145598.1:18861567-19004192,LOC590529,p21-activated protein kinase-interacting protein 1-like,31196,31196,100.0,NW_022145598.1:18876411-18907607, Manually curated
NW-022145598.1:18861567-19004192,LOC115923036,ATP-dependent RNA helicase DDX24-like,21863,21863,100.0,NW_022145598.1:18909277-18931140, Sp-Ddx24_1|Sp-Ddx24| DEAD (Asp-Glu-Ala-Asp) box polypeptide 24|SPU_016467|SPU_017906|SPU_016488 Manually curated
NW-022145598.1:18861567-19004192,LOC115923216,uncharacterized LOC115923216,12224,12224,100.0,NW_022145598.1:18935033-18947257, Sp-Hypp_824|SPU_016466|hypothetical protein-824|microcephalin-like Manually curated
NW-022145598.1:18861567-19004192,LOC756739,uncharacterized LOC756739,21058,10674,50.688574413524556,NW_022145598.1:18993518-19014576, Sp-Hypp_67|SPU_010393|hypothetical protein-67|telomere elongation helicase-like Manually curated
NW-022145598.1:18861567-19004192,LOC115923035,rRNA-processing protein UTP23 homolog,7434,7434,100.0,NW_022145598.1:18868986-18876420, Manually curated
NW-022145606.1:617792-758636,LOC115927351,uncharacterized LOC115927351,2163,2163,100.0,NW_022145606.1:648164-650327, SPU_006987|LOC110990635 Manually curated
NW-022145606.1:617792-758636,LOC115927142,uncharacterized LOC115927142,2813,2813,100.0,NW_022145606.1:684522-687335, Manually curated
NW-022145600.1:26539164-26678675,LOC115918649,early nodulin-75-like,7298,7298,100.0,NW_022145600.1:26584985-26592283, Manually curated
NW-022145600.1:26539164-26678675,LOC105437627,"NACHT, LRR and PYD domains-containing protein 12-like",25596,7801,30.47741834661666,NW_022145600.1:26670874-26696470, Sp-PolypL_80|SPU_018988|polyprotein-like-80|Sp-RtL_29|SPU_011708|reverse transcriptase-like-29 Manually curated
NW-022145600.1:26539164-26678675,LOC105439829,uncharacterized LOC105439829,27937,27937,100.0,NW_022145600.1:26598479-26626416, Sp-Hypp_1290|SPU_000895|hypothetical protein-1290|Sp-Hypp_17|SPU_006619|hypothetical protein-17|Sp-Hypp_1436|SPU_003155|hypothetical protein-1436|SPU_010577|Sp-Eif3aL|SPU_011284|eukaryotic translation initiation factor 3|subunit A-like|Sp-Hypp_1345|SPU_001755|hypothetical protein-1345 Manually curated
NW-022145597.1:26834287-26967606,LOC115922501,uncharacterized LOC115922501,2519,2519,100.0,NW_022145597.1:26848421-26850940, SPU_025552 Manually curated
NW-022145597.1:26834287-26967606,LOC115922502,uncharacterized LOC115922502,1990,1990,100.0,NW_022145597.1:26920358-26922348,  ankyrin23/unc44-337 |Sp-Unc44_337|SPU_022620 Manually curated
NW-022145597.1:26834287-26967606,LOC586108,ankyrin repeat domain-containing protein 39,3350,3350,100.0,NW_022145597.1:26930090-26933440, SPU_022583 Manually curated
NW-022145597.1:26834287-26967606,LOC115922737,motile sperm domain-containing protein 1-like,5711,5711,100.0,NW_022145597.1:26958131-26963842, Manually curated
NW-022145597.1:26834287-26967606,LOC115922735,"acyl-coenzyme A thioesterase 9, mitochondrial-like",17186,17186,100.0,NW_022145597.1:26936532-26953718, Manually curated
NW-022145600.1:11573143-11706011,LOC100892098,exonuclease mut-7 homolog,19895,2145,10.781603417944208,NW_022145600.1:11555393-11575288, Sp-Flj20433L|SPU_006216|hypothetical protein FLJ20433|SPU_028356 Manually curated
NW-022145600.1:11573143-11706011,LOC757273,ngdn,13944,4175,29.941193344807804,NW_022145600.1:11701836-11715780,"['neuroguidin', ' LOC757273|Sp-Ngdn|SPU_019210|neuroguidin|EIF4E binding protein; neuroguidin isoform 2|neuroguidin, EIF4E binding protein|neuroguidin isoform 2|LOC110989027 Manually curated']"
NW-022145600.1:11573143-11706011,LOC105438798,exonuclease mut-7 homolog,43963,43963,100.0,NW_022145600.1:11654660-11698623, SPU_018093|Sp-Flj20433l_1|SPU_019209|hypothetical protein FLJ20433 Manually curated
NW-022145605.1:11753815-11886581,LOC105436911,mitofusin-1-like,54292,54292,100.0,NW_022145605.1:11791963-11846255, SPU_001619 Manually curated
NW-022145594.1:19657290-19787366,LOC115921272,uncharacterized LOC115921272,1232,1232,100.0,NW_022145594.1:19666842-19668074, Manually curated
NW-022145594.1:19657290-19787366,LOC115920962,uncharacterized LOC115920962,2737,2737,100.0,NW_022145594.1:19699142-19701879, Manually curated
NW-022145594.1:19657290-19787366,LOC115920963,uncharacterized LOC115920963,2572,2572,100.0,NW_022145594.1:19703176-19705748, Manually curated
NW-022145610.1:683377-812781,LOC115929166,uncharacterized LOC115929166,3448,3448,100.0,NW_022145610.1:724552-728000, Manually curated
NW-022145610.1:683377-812781,LOC115929165,uncharacterized LOC115929165,47717,25183,52.77574030219838,NW_022145610.1:660843-708560, Manually curated
NW-022145610.1:683377-812781,LOC115929260,OTU domain-containing protein 3-like,78877,78265,99.22410842197345,NW_022145610.1:734516-813393, SPU_022748|Sp-Hypp_499|SPU_006862|hypothetical protein-499|Sp-Hypp_673|SPU_012181|hypothetical protein-673|replicase/helicase/endonuclease-like Manually curated
NW-022145606.1:13927060-14053416,LOC115927241,uncharacterized LOC115927241,2612,2612,100.0,NW_022145606.1:14037392-14040004, Manually curated
NW-022145606.1:13927060-14053416,LOC105442736,uncharacterized LOC105442736,8067,7562,93.73992810214455,NW_022145606.1:14045854-14053921," ankyrin2,3/unc44-like-52 |Sp-Unc44L_52|SPU_006327 Manually curated"
NW-022145606.1:26557706-26681726,LOC115927659,C-type lectin lectoxin-Thr1-like,2538,2538,100.0,NW_022145606.1:26621209-26623747, Sp-Seccltcp1|SPU_004019 Manually curated
NW-022145606.1:26557706-26681726,LOC100894106,echinoidin,5817,5817,100.0,NW_022145606.1:26644176-26649993, Sp-Clect_7|SPU_003227 Manually curated
NW-022145606.1:26557706-26681726,LOC115918261,uncharacterized LOC115918261,4188,4188,100.0,NW_022145606.1:26658295-26662483, Manually curated
NW-022145606.1:26557706-26681726,LOC115918191,uncharacterized LOC115918191,13250,13250,100.0,NW_022145606.1:26563075-26576325, Manually curated
NW-022145606.1:26557706-26681726,LOC115927099,low affinity immunoglobulin epsilon Fc receptor-like,10574,10574,100.0,NW_022145606.1:26585886-26596460, Sp-Clect_105|SPU_013860 Manually curated
NW-022145606.1:26557706-26681726,LOC100888350,uncharacterized LOC100888350,15845,923,5.825181445250868,NW_022145606.1:26680803-26696648, zinc finger protein 218|zinc finger protein 136|zinc finger protein 250|Sp-Z218|SPU_012724|Sp-Z136|SPU_006497|Sp-Z250|SPU_005122 Manually curated
NW-022145606.1:26557706-26681726,LOC589548,perlucin-like protein,5732,5732,100.0,NW_022145606.1:26603994-26609726, Manually curated
NW-022145603.1:32812402-32935100,LOC105439169,ankyrin repeat domain-containing protein 50-like,1185,1185,100.0,NW_022145603.1:32854041-32855226," ankyrin2,3/unc44-354 |Sp-Unc44_354|SPU_024365 Manually curated"
NW-022145603.1:32812402-32935100,LOC115925283,uncharacterized LOC115925283,426,426,100.0,NW_022145603.1:32858445-32858871, Manually curated
NW-022145603.1:32812402-32935100,LOC115925578,uncharacterized LOC115925578,2864,2864,100.0,NW_022145603.1:32875508-32878372, Manually curated
NW-022145603.1:32812402-32935100,LOC105439167,uncharacterized LOC105439167,18099,12664,69.97071661417758,NW_022145603.1:32806967-32825066, Manually curated
NW-022145603.1:32812402-32935100,LOC105437780,ankyrin repeat domain-containing protein 17-like,18167,18167,100.0,NW_022145603.1:32889925-32908092," ankyrin2,3/unc44-297 |Sp-Unc44_297|SPU_011450 Manually curated"
NW-022145604.1:31247735-31369231,LOC105437398,uncharacterized LOC105437398,1527,1527,100.0,NW_022145604.1:31280275-31281802, Sp-Hypp_996|SPU_020805|hypothetical protein-996 Manually curated
NW-022145604.1:31247735-31369231,LOC115925880,uncharacterized LOC115925880,1539,1539,100.0,NW_022145604.1:31315250-31316789, Manually curated
NW-022145607.1:26672674-26793622,LOC115927929,"acetyl-CoA acetyltransferase, cytosolic-like",8907,8907,100.0,NW_022145607.1:26773964-26782871, Manually curated
NW-022145607.1:26672674-26793622,LOC115928354,"acetyl-CoA acetyltransferase, cytosolic-like",11045,4898,44.34585785423268,NW_022145607.1:26788724-26799769, Manually curated
NW-022145607.1:26672674-26793622,LOC115928353,cytochrome b5 reductase 4-like,16091,16091,100.0,NW_022145607.1:26679505-26695596, Manually curated
NW-022145607.1:2865006-2985285,LOC591287,ankyrin repeat domain-containing protein 50-like,897,897,100.0,NW_022145607.1:2889423-2890320, Manually curated
NW-022145607.1:2865006-2985285,LOC100892355,ankyrin-1-like,1377,1377,100.0,NW_022145607.1:2890345-2891722, Manually curated
NW-022145607.1:2865006-2985285,LOC115928291,uncharacterized LOC115928291,2984,2984,100.0,NW_022145607.1:2892181-2895165, Manually curated
NW-022145607.1:2865006-2985285,LOC105439798,uncharacterized LOC105439798,17230,17230,100.0,NW_022145607.1:2932984-2950214," ankyrin2,3/unc44-238 |Sp-Unc44_238|SPU_017400 Manually curated"
NW-022145607.1:2865006-2985285,LOC115928181,uncharacterized LOC115928181,5185,5185,100.0,NW_022145607.1:2960397-2965582, Manually curated
NW-022145607.1:2865006-2985285,LOC105439802,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like,6786,6786,100.0,NW_022145607.1:2882641-2889427, Manually curated
NW-022145607.1:2865006-2985285,LOC105439799,ankyrin-3-like,57582,20779,36.0859296307874,NW_022145607.1:2964506-3022088, Manually curated
NW-022145606.1:54069-173517,LOC105442320,uncharacterized LOC105442320,2229,1092,48.99057873485868,NW_022145606.1:52932-55161, Manually curated
NW-022145606.1:54069-173517,LOC578854,gastrula zinc finger protein XlCGF57.1,13704,13704,100.0,NW_022145606.1:75209-88913, Manually curated
NW-022145609.1:23064435-23183789,LOC115928527,"NACHT, LRR and PYD domains-containing protein 3-like",11105,11105,100.0,NW_022145609.1:23105935-23117040, SPU_016031 Manually curated
NW-022145609.1:23064435-23183789,LOC105446752,uncharacterized LOC105446752,30220,22766,75.33421575115817,NW_022145609.1:23161023-23191243, Manually curated
NW-022145609.1:23064435-23183789,LOC115928526,ubiquitin-like-conjugating enzyme ATG10,10593,10593,100.0,NW_022145609.1:23065020-23075613, Sp-PppL_269|SPU_017698|pol polyprotein like-269 Manually curated
NW-022145600.1:27725792-27843389,LOC115924204,uncharacterized LOC115924204,8034,8034,100.0,NW_022145600.1:27743323-27751357, Manually curated
NW-022145600.1:27725792-27843389,LOC105438456,uncharacterized LOC105438456,2327,2327,100.0,NW_022145600.1:27824272-27826599, Manually curated
NW-022145600.1:27725792-27843389,LOC592184,alpha-L-iduronidase,13645,4497,32.957127152803224,NW_022145600.1:27716644-27730289, Manually curated
NW-022145600.1:27725792-27843389,LOC115924169,uncharacterized LOC115924169,7240,7240,100.0,NW_022145600.1:27736117-27743357, Manually curated
NW-022145594.1:12811850-12929285,LOC105445231,uncharacterized LOC105445231,912,912,100.0,NW_022145594.1:12875806-12876718, SPU_018763|Sp-TpaseL_10|transposase-like-10 Manually curated
NW-022145594.1:12811850-12929285,LOC115921464,uncharacterized LOC115921464,1346,1346,100.0,NW_022145594.1:12923233-12924579, SPU_009571|Igf_35|SPU_025433|Igf_44|SPU_017577|SPU_014032|Sp-Fn3/Igf_35 Manually curated
