"Summary of tests for positive selection at the 6,520 single-copy orthologs. Also included are measures of codon bias (ENC and Nc') and GC content.  ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Official Gene ID,Common_name,Synonyms,Best Genbank Hit,Total No. of Codons,No. of Codons Analyzed,Model M0 dN,Model M0 dS,Model M0 dN/dS,Model M0 kappa,p1M8,Model M0 lnL,Model M7 lnL,Model M8 lnL,M8 vs. M7 LRT Score,Empirical P-value,Empirical Q-value,Empirical Lfdr,Effective No. of Codons (ENC),Novembre's Nc',GC Content,3rd position GC Content,Intron GC Content,Flanking Region GC Content
SPU_010991,Sp-Srcr95,none,none,956,730,0.0865,0.394,0.21956,3.06164,0.01091,-5019.59,-4959.7,-4941.11,37.1924,0,0,0.00727891,54.6,53.6604,0.502,0.422,0.329309,0.312
SPU_004328,Sp-Ddm36L,none,NP_066013.1,1277,1087,0.1036,0.2936,0.35296,2.32642,0.01424,-7399.32,-7326.9,-7308.5,36.8094,0,0,0.00727891,57.23,52.9286,0.517,0.493,0.357143,0.4135
SPU_013652,Sp-Hypp_2095,hypothetical protein-2095; copper radical oxidase-like,ABD61575.1,504,188,0.1842,0.2048,0.89935,2.21145,0.06692,-1363.11,-1356.09,-1337.71,36.7502,0,0,0.00727891,61,58.85,0.46,0.476,0.362893,0.368159
SPU_014316,Sp-Syp,synaptophysin ,CAA29686.1,165,137,0.1741,0.261,0.66681,1.69435,0.07619,-1036.97,-1013.37,-995.069,36.6054,0,0,0.00727891,54.11,46.5825,0.529,0.526,0.347307,0.373571
SPU_003832,Sp-Glyt,glycine transporter,AAY55910.1,608,530,0.0851,0.3975,0.21409,2.20302,0.03201,-3620.77,-3538.83,-3520.69,36.2789,0,0,0.00727891,55.44,53.289,0.45,0.47,0.363757,0.398
SPU_018171,Sp-Adam17L1,none,NP_003174,597,470,0.0642,0.2751,0.23328,1.50178,0.01916,-2873.77,-2834.58,-2816.7,35.7538,0,0,0.00727891,56.86,56.2373,0.456,0.413,0.347775,0.327
SPU_000314,Sp-Cnga3_2,"Cyclic nucleotide gated channel, cone photoreceptor, alpha subunit (CNG channel 1) (CNG-1)",2493751,576,528,0.0596,0.3693,0.16126,1.54269,0.04353,-3429.24,-3351.62,-3334.03,35.1879,0,0,0.00727891,58.36,54.5122,0.442,0.493,0.295122,0.2993
SPU_002615,Sp-Furin,none,XP_792177,736,453,0.1624,0.3622,0.44834,1.9271,0.074,-3496.09,-3436.43,-3419.06,34.7495,0,0,0.00727891,56.93,50.0058,0.507,0.51,0.351035,0.361
SPU_016807,Sp-CrumbsL1,none,BAA20535.1,2493,1667,0.0556,0.3293,0.16872,2.38245,0.01023,-10405.2,-10330.9,-10313.8,34.2877,0,0,0.00727891,56.05,49.5372,0.518,0.55,0.340892,0.381
SPU_000552,Sp-Arf1,ADP-Ribosylation Factor 1,AF521667,181,157,0.0825,0.0763,1.08244,3.28059,0.09951,-864.543,-855.51,-838.841,33.3393,0,0,0.00727891,58.59,59.0592,0.422,0.416,0.346519,0.3605
SPU_026008,Sp-FcolI/II/IIIf,none,CAA61929,3748,3478,0.0491,0.2941,0.16694,2.33002,0.02199,-21479.9,-21330.4,-21313.8,33.05,0,0,0.00727891,51.84,49.5958,0.532,0.425,0.315656,0.321
SPU_011589,Sp-Npr1_1,Atrial natriuretic peptide receptor A precursor (ANP-A)(ANPRA) (GC-A) (Guanylate cyclase) (NPR-A) (Atrial natriuretic peptide A-type receptor),728861,802,694,0.0733,0.3685,0.19894,1.44408,0.01348,-4581.7,-4519.21,-4502.82,32.7783,0,0,0.00727891,58.73,54.7824,0.46,0.507,0.359342,0.359871
SPU_005489,Sp-Fhod3,formin homology 2 domain containing 3,EAX01381.1,896,576,0.0875,0.3763,0.2326,1.47984,0.01869,-3827.39,-3783.6,-3767.42,32.3623,0,0,0.00727891,53.27,55.2872,0.449,0.412,0.366395,0.332
SPU_007175,Sp-Hypp_21,hypothetical protein-21; galaxin-like,none,1150,703,0.1635,0.484,0.33774,1.82031,0.03928,-5657.2,-5602.98,-5586.92,32.1208,0,0,0.00727891,54.59,52.8222,0.483,0.457,0.348863,0.3245
SPU_009872,Sp-Slc25a3_2,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3 ",19526818,356,317,0.0529,0.16,0.33066,1.47557,0.06883,-1793.85,-1766.26,-1750.6,31.322,0,0,0.00727891,53.23,47.5494,0.501,0.504,0.358784,0.327253
SPU_013543,Sp-Hypp_2088,hypothetical protein-2088,XP_001815251.1,478,359,0.1961,0.4315,0.45445,2.55126,0.10075,-2955.76,-2920.68,-2905.11,31.146,0,0,0.00727891,53.56,51.5628,0.446,0.462,0.341275,0.347656
SPU_027212,Sp-Npffr1L,neuropeptide FF receptor 1-like; RFamide-related peptide receptor-like,BAE17050.1,538,473,0.096,0.3266,0.2939,2.33653,0.01455,-3218.98,-3180.58,-3165.5,30.1589,0,0,0.00727891,52.8,43.0194,0.53,0.645,0.369335,0.3465
SPU_025513,Sp-Duoxa1,dual oxidase maturation factor 1,NP_001101237.1,500,395,0.1088,0.4233,0.257,2.22461,0.0186,-2806.85,-2749.6,-2734.59,30.0258,0,0,0.00727891,53.87,44.4473,0.506,0.568,0.339642,0.3585
SPU_008212,Sp-Agtr1,AGTR1,XM_781545,395,376,0.086,0.275,0.31273,1.57768,0.05294,-2399.77,-2354.94,-2340.1,29.6867,0,0,0.00727891,61,53.7989,0.478,0.575,NULL,0.346673
SPU_017872,Sp-Colf_13,none,AAH07158,753,636,0.1137,0.2279,0.49875,2.48657,0.04743,-4250.91,-4219.97,-4205.16,29.6197,0,0,0.00727891,55.91,57.9069,0.537,0.37,0.353931,0.346386
SPU_007476,Sp-Lrr/Igr_17,none,none,758,686,0.1422,0.2785,0.51052,1.89897,0.04122,-4976.22,-4949,-4934.19,29.6145,0,0,0.00727891,57.69,54.8157,0.46,0.495,NULL,0.333
SPU_012855,Sp-Clect/Fn3_18,none,NP_001003148.1,2527,1946,0.0919,0.3962,0.23201,2.08584,0.03887,-13446.8,-13287.5,-13272.7,29.4985,0,0,0.00727891,55.09,49.5704,0.508,0.529,0.33978,0.40633
SPU_021866,Sp-Notch1-18,notch 1 homolog-18,none,1825,983,0.0701,0.4038,0.17363,2.3513,0.01958,-6477.57,-6396.47,-6381.73,29.4953,0,0,0.00727891,54.66,53.4217,0.466,0.393,0.380076,0.366154
SPU_020421,Sp-Gp5L,glycoprotein 5 (platelet)-like; platelet glycoprotein V-like,CAA93441.1,688,650,0.0913,0.3432,0.26613,1.70559,0.00155,-4407.23,-4375.23,-4360.79,28.8758,0,0,0.00727891,60.25,58.4561,0.449,0.484,NULL,0.383
SPU_011978,Sp-Enpep,Glutamyl aminopeptidase (EAP) (Aminopeptidase A) (APA) (Differentiation antigen gp160),584751,619,473,0.111,0.3583,0.30986,1.69437,0.02539,-3297.57,-3244.5,-3230.07,28.866,0,0,0.00727891,58.44,55.5105,0.472,0.496,0.36805,0.362909
SPU_012318,Sp-KpLr3,Sp-Kisspeptin-like-receptor-3,none,349,325,0.103,0.254,0.40566,2.07679,0.0411,-2123.56,-2093.05,-2078.84,28.4013,0,0,0.00727891,57.35,48.1501,0.479,0.551,0.37421,0.367
SPU_022791,Sp-Gtsf1,"gametocyte specific factor 1; family with sequence similarity 112, member B",AAI05588.1,322,284,0.1023,0.2939,0.34812,2.69895,0.01397,-1914.65,-1899.82,-1885.72,28.2149,0,0,0.00727891,52.47,45.4558,0.532,0.463,0.367577,0.335
SPU_025815,Sp-Atp1a3,Sodium/potassium-transporting ATPase alpha-3 chain (Sodium pump 3) (Na+/K+ ATPase 3) (Alpha(III)) ,114380,980,849,0.03,0.5548,0.05414,1.34136,0.00808,-5380.13,-5326.89,-5312.87,28.0351,0,0,0.00727891,42.99,42.3273,0.478,0.475,0.352749,0.3535
SPU_012468,Sp-Galnac4s-6stL_4,B-cell RAG-associated gene protein-like-4; N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase-like-4,NP_775432.3,526,396,0.1365,0.2155,0.63329,2.64396,0.06472,-2651.59,-2625.83,-2611.82,28.0233,0,0,0.00727891,57.05,54.3785,0.451,0.481,0.361766,0.3675
SPU_011725,Sp-Tm9sf3,transmembrane 9 superfamily member 3 ,NP_064508 ,582,385,0.0232,0.4279,0.05424,2.06144,0.00268,-2176.49,-2158.12,-2144.15,27.9271,0,0,0.00727891,54.56,44.7511,0.491,0.646,0.353265,0.3715
SPU_017469,Sp-Abce1,none,NP_002931,530,379,0.0461,0.2704,0.17042,2.50871,0.02444,-2225.55,-2191.53,-2177.82,27.4263,0,0,0.00727891,52.09,45.7481,0.495,0.616,0.37172,0.3755
SPU_003822,Sp-Lamb2,"laminin, beta 2",EDL21291.1,503,333,0.081,0.2562,0.31607,2.86408,0.02589,-2090.42,-2059.23,-2045.64,27.1839,0,0,0.00727891,59.24,56.2603,0.488,0.453,0.348006,0.3385
SPU_008047,Sp-Asp_10,alkaline serine protease (bacterial)-10,EAR57634.1,361,302,0.1604,0.4195,0.38239,1.33671,0.06594,-2364.91,-2316.93,-2303.38,27.1033,0,0,0.00727891,49.23,43.4078,0.543,0.518,0.356958,0.333333
SPU_013509,Sp-Odadc1L,"Outer Dynein Arm Docking Complex 1, Mr 105,000",none,2105,1596,0.1037,0.2346,0.44216,1.95658,0.12624,-10282.9,-10220.2,-10206.8,26.8825,0,0,0.00727891,52.99,53.0542,0.448,0.469,0.333296,0.353
SPU_006331,Sp-Hypp_475,hypothetical protein-475; hyalin-like,XP_792274.2,649,507,0.1281,0.2836,0.45162,2.57469,0.02492,-3572,-3543.94,-3530.5,26.8713,0,0,0.00727891,56.34,57.1015,0.47,0.385,0.34176,0.3095
SPU_017488,Sp-Fn3/Igf_38,none,NP_990790.1,1660,1504,0.068,0.2689,0.25273,2.07843,0.03549,-9428.42,-9350.95,-9337.55,26.7895,0,0,0.00727891,55.74,50.2376,0.537,0.518,0.338463,0.3755
SPU_003577,Sp-EchnL_5,echinonectin-like-5,AAC32598.2,570,387,0.1841,0.2454,0.75016,2.71351,0.11898,-2902.18,-2884.36,-2871.07,26.5821,0,0,0.00727891,59.2,56.602,0.47,0.445,0.346003,0.3575
SPU_006227,Sp-Hypp_1639,"hypothetical protein-1639; myosin, heavy polypeptide 14-like",ZP_02998429.1,430,275,0.0448,0.477,0.09391,1.23375,0.00905,-1607.8,-1578.67,-1565.38,26.5759,0,0,0.00727891,41.63,44.5751,0.49,0.596,0.347065,0.387
SPU_021602,Sp-eGas,"beta-1,4-endoglucanase (earthworm)-like",ACE75511.1,471,232,0.0991,0.3753,0.2641,1.58119,0.06174,-1576.37,-1540.29,-1527.03,26.5043,0,0,0.00727891,52.68,45.002,0.524,0.578,0.35711,0.303
SPU_014619,Sp-Col805b,none,CAE53096,164,127,0.1053,0.3388,0.31082,4.27086,0.09549,-834.237,-808.504,-795.342,26.3241,0,0,0.00727891,43.77,47.834,0.53,0.237,0.341012,0.382
SPU_025515,Sp-Slc4a10,"solute carrier family 4, sodium bicarbonate cotransporter-like member 10",AAQ83632.1,1149,1012,0.0471,0.3956,0.11911,2.14918,0.02094,-6326.11,-6222.38,-6209.25,26.2534,0,0,0.00727891,49.78,43.0159,0.522,0.616,0.370347,0.3665
SPU_008339,Sp-Slc6a5_1,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5-1; sodium-dependent alanine transporter 1",EEN48901.1,591,468,0.0872,0.6472,0.1348,1.78074,0.00439,-3428.39,-3343.84,-3330.72,26.2397,0,0,0.00727891,45.7,38.8227,0.515,0.622,0.3737,0.31
SPU_022413,Sp-Phlpb_2,phospholipase B,20302091,436,356,0.1723,0.4298,0.40082,1.77042,0.12463,-2860.44,-2806.69,-2793.61,26.1632,0,0,0.00727891,61,56.5394,0.467,0.505,0.334934,0.378112
SPU_005833,Sp-Slco3a1_1,Solute carrier organic anion transporter family member 3A1 (Solute carrier family 21 member 11) (Sodium-independent organic anion transporter D) (Organic anion transporting polypeptide D) (OATP-D) (Organic anion transporter polypeptide related protein 3) (OATP-RP3) (OATPRP3) (PGE1 transporter),27734566,693,590,0.1521,0.3126,0.48648,1.85429,0.09132,-4399.37,-4362.98,-4349.94,26.0728,0,0,0.00727891,60.37,56.8896,0.465,0.47,0.361359,0.38
SPU_027628,Sp-Arhgap28,KIAA1314,NM_176837,1156,644,0.1117,0.369,0.30276,1.94525,0.0192,-4574.67,-4509.87,-4496.84,26.0471,0,0,0.00727891,57.42,54.1562,0.497,0.474,0.362959,0.341
SPU_025671,Sp-Tbpaf_RnapIA,SpTAF1A,CAI40467,670,255,0.2026,0.2598,0.77967,3.48192,0.07304,-1928.75,-1914.82,-1901.88,25.8883,0,0,0.00727891,53.82,53.0754,0.427,0.44,0.348629,0.367692
SPU_007246,Sp-Kcnk5,Potassium channel subfamily K member 5 (Acid-sensitive potassium channel protein TASK-2) (TWIK-related acid-sensitive K(+) channel 2),13124055,363,234,0.2998,0.3118,0.96151,1.57186,0.15637,-2106.8,-2090.36,-2077.47,25.7659,0,0,0.00727891,61,56.1544,0.474,0.491,0.348177,0.4115
SPU_013541,Sp-Hypp_720,hypothetical protein-720; MAM domain containing 4,XP_002231545.1,617,357,0.1171,0.4785,0.24476,1.56096,0.02235,-2657.69,-2617.81,-2605.08,25.4511,0,0,0.00727891,55.21,54.792,0.458,0.388,0.370485,0.347692
SPU_024610,Sp-MuskL,none,CAI17350,838,725,0.0714,0.4279,0.16682,1.9816,0.0115,-4946.4,-4910.75,-4898.11,25.2713,0,0,0.00727891,55.55,52.2702,0.496,0.524,0.355323,0.345
SPU_025585,Sp-Cand1_1,TIP120 protein,NP_060918,977,712,0.0128,0.285,0.04482,1.96695,0.01057,-3907.13,-3885.94,-3873.42,25.0381,0,0,0.00727891,53.09,48.5022,0.475,0.532,0.334807,0.402
SPU_001774,Sp-Nacha2_1,nicotinic acetylcholine receptor alpha 2,ABA60384.1,570,537,0.0351,0.2596,0.13525,1.89422,0.00373,-3042.45,-3006.29,-2993.87,24.8501,0,0,0.00727891,55.16,46.4747,0.492,0.614,0.361655,0.402
SPU_008653,Sp-Igf_23,none,none,2447,1918,0.107,0.3148,0.33993,2.57078,0.08734,-13288.1,-13204.4,-13192,24.7656,0,0,0.00727891,53.39,52.2168,0.484,0.434,0.318132,0.39
SPU_010992,Sp-Srcr96,none,none,438,335,0.1524,0.3001,0.50783,2.50555,0.03552,-2444.74,-2414.08,-2401.73,24.6962,0,0,0.00727891,55.74,60.1051,0.497,0.358,0.301255,0.3215
SPU_001596,Sp-Atp11,Sodium/potassium-transporting ATPase beta-1 chain (Sodium/potassium-dependent ATPase beta-1 subunit),114391,310,285,0.1783,0.5835,0.30564,1.17503,0.03663,-2387.48,-2321.11,-2308.84,24.5383,0,0,0.00727891,54.51,48.1575,0.481,0.517,0.380724,0.36
SPU_018016,Sp-Gpr143,G protein-coupled receptor 143,EAW98773.1,379,295,0.1616,0.3262,0.49538,3.04162,0.12627,-2202.73,-2169.99,-2157.73,24.5207,0,0,0.00727891,56.17,50.5701,0.464,0.538,0.352734,0.3535
SPU_017882,Sp-Nbc_1,Sodium bicarbonate co-transporter,DQ291138,949,724,0.0621,0.3701,0.16781,2.05169,0.01931,-4671.97,-4598.81,-4586.56,24.4931,0,0,0.00727891,55.8,49.2538,0.485,0.553,0.351513,0.3625
SPU_025929,Sp-Slc7a14,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14 ",55925606,602,519,0.0682,0.4433,0.15381,1.75493,0.01367,-3540.96,-3482.27,-3470.13,24.2726,0,0,0.00727891,57.62,52.7657,0.501,0.561,0.34965,0.3605
SPU_005501,Sp-Crispld2L,cysteine-rich secretory protein LCCL domain like,AAI48144.1,555,361,0.0624,0.3495,0.17865,2.04634,0.00279,-2291.58,-2271.95,-2259.81,24.2719,0,0,0.00727891,57.06,49.2209,0.532,0.558,0.352468,0.3045
SPU_018545,Sp-Acox1_2,"Acyl-coenzyme A oxidase 1, peroxisomal (Palmitoyl-CoA oxidase) (AOX) [Contains: Acyl-CoA oxidase 1 peroxisomal, A chain; Acyl-CoA oxidase 1 peroxisomal, B chain; Acyl-CoA oxidase 1 peroxisomal, C chain]",115565,711,503,0.063,0.3357,0.18768,1.9936,0.00399,-3180.43,-3157.65,-3145.52,24.2664,0,0,0.00727891,54.51,55.4825,0.466,0.426,0.330598,0.3875
SPU_005917,Sp-C10orf112L,human chromosome 10 open reading frame 112-like,XP_295865.6,820,237,0.104,0.3486,0.29837,1.70443,0.0689,-1627.75,-1591.78,-1579.73,24.1136,0,0,0.00727891,59.73,55.8937,0.496,0.496,0.364198,0.37641
SPU_027400,Sp-Ph4_1,Putative HIF-prolyl hydroxylase PH-4 (Hypoxia-inducible factor prolyl 4-hydroxylase),32129516,662,474,0.1014,0.3824,0.26511,1.68201,0.00222,-3265.63,-3250.5,-3238.55,23.9034,0,0,0.00727891,58.56,52.1308,0.488,0.531,0.357163,0.366
SPU_009983,Sp-Hypp_3067,hypothetical protein-3067,none,1257,627,0.1795,0.2301,0.77986,2.87271,0.09658,-4624.58,-4612.32,-4600.4,23.84,0,0,0.00727891,56.61,59.1955,0.468,0.397,0.34572,0.3295
SPU_010200,Sp-Hypp_64,hypothetical protein-64; melanoma associated antigen-like,none,1056,756,0.1676,0.3937,0.42584,1.77312,0.00749,-5848.01,-5803.23,-5791.4,23.6583,0,0,0.00727891,52.79,57.5702,0.438,0.375,0.333397,0.387179
SPU_022588,Sp-Dnase1_2,Deoxyribonuclease I,U00478,534,330,0.0774,0.3087,0.25068,2.95699,0.02727,-2112.29,-2095.98,-2084.16,23.6358,0,0,0.00727891,52.09,49.5393,0.443,0.454,0.33731,0.345641
SPU_004647,Sp-Dync1h1-3,dynein cytoplasmic 1 heavy chain 1-3,AAA41103.1,991,848,0.0098,0.2279,0.04281,2.72161,0.00202,-4365.09,-4350.22,-4338.43,23.5946,0,0,0.00727891,49.02,39.7535,0.523,0.616,0.31625,0.3495
SPU_020597,Sp-Srcr159,none,none,1727,1153,0.1364,0.3621,0.3767,2.43172,0.06855,-8590.72,-8525.28,-8513.5,23.5503,0,0,0.00727891,56.85,58.0501,0.497,0.409,0.375201,0.428571
SPU_021405,Sp-Hypp_3032,hypothetical protein-3032,none,1253,727,0.1429,0.2661,0.53714,2.59641,0.0235,-5130.99,-5109.48,-5097.72,23.5199,0,0,0.00727891,54.69,54.4244,0.486,0.47,0.34989,0.3665
SPU_010887,Sp-Hypp_631,hypothetical protein-631; 5-hydroxytryptamine receptor-like,XP_002204397.1,720,574,0.1587,0.3623,0.43784,2.43634,0.05141,-4406.53,-4358.91,-4347.19,23.4473,0,0,0.00727891,57.88,56.1143,0.464,0.489,0.370806,0.374
SPU_000442,Sp-Mlckb,myosin light chain kinase,XP_782150.1,429,409,0.0705,0.3338,0.21108,1.82254,0.02173,-2575.02,-2538.6,-2526.92,23.3561,0,0,0.00727891,51.91,50.5082,0.453,0.48,0.338855,0.373
SPU_015847,Sp-Hypp_2234,hypothetical protein-2234; G protein-coupled receptor,XP_970225.1,331,285,0.1024,0.4327,0.23659,1.6581,0.02882,-2052.88,-2008.82,-1997.18,23.2749,0,0,0.00727891,61,56.9162,0.463,0.502,NULL,0.341
