introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145607.1:1630578-1686644,27.08,27.36,13.19,18.25,LOC105446612,uncharacterized LOC105446612,14374,14374,100.0,NW_022145607.1:1639136-1653510,ECB-GENEPAGE-23122609,Sp-Nlr102_1|SPU_010052|NACHT and LRR containing protein|Sp-Nlr47|SPU_027513|Sp-Nlr102|SPU_010053|Sp-Nlr56|SPU_002423,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR|Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR|Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR"
NW-022145607.1:1630578-1686644,27.08,27.36,13.19,18.25,LOC105438619,uncharacterized LOC105438619,13558,13558,100.0,NW_022145607.1:1652510-1666068,ECB-GENEPAGE-23122613,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:7408955-7462779,18.06,47.63,26.77,28.26,LOC115927561,ankyrin repeat domain-containing protein 50-like,2918,2918,100.0,NW_022145606.1:7428845-7431763,ECB-GENEPAGE-23115176,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:7408955-7462779,18.06,47.63,26.77,28.26,LOC105438764,ankyrin repeat domain-containing protein 29-like,9065,5610,61.886376172090465,NW_022145606.1:7457169-7466234,ECB-GENEPAGE-23115180,SPU_012272,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:7408955-7462779,18.06,47.63,26.77,28.26,LOC105446804,ankyrin repeat domain-containing protein 50-like,6795,3009,44.28256070640176,NW_022145606.1:7405169-7411964,ECB-GENEPAGE-23115172,Sp-Gpr101L|SPU_001627|G protein-coupled receptor 101-like,partially curated,n/a,n/a,n/a,"Nervous,Nervous_Chemosensory,Nervous_Chemosensory"
NW-022145598.1:22998731-23051867,12.79,26.89,11.89,9.3,LOC105437133,partially curated,539,539,100.0,NW_022145598.1:23004162-23004701,ECB-GENEPAGE-23061274,n/a,n/a,n/a,"GO:0004930,GO:0007166,GO:0016020",n/a,n/a
NW-022145600.1:15523142-15575660,11.68,19.57,6.72,19.8,LOC581387,protein FAM166B,9288,9288,100.0,NW_022145600.1:15548986-15558274,ECB-GENEPAGE-23075212,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145600.1:15523142-15575660,11.68,19.57,6.72,19.8,LOC581331,transient receptor potential cation channel subfamily V member 5,24582,24582,100.0,NW_022145600.1:15524231-15548813,ECB-GENEPAGE-23075207,n/a,partially curated,n/a,"GO:0005216,GO:0016020",KEGG:spu:581331,n/a
NW-022145600.1:15523142-15575660,11.68,19.57,6.72,19.8,LOC581446,uncharacterized LOC581446,28640,14384,50.22346368715084,NW_022145600.1:15561276-15589916,ECB-GENEPAGE-23075219,SPU_006791,partially curated,n/a,GO:0051920,n/a,n/a
NW-022145609.1:15260747-15311093,15.89,21.09,8.99,9.71,LOC105436834,uncharacterized LOC105436834,18704,18704,100.0,NW_022145609.1:15269907-15288611,ECB-GENEPAGE-23133581,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:13318123-13319954,42.04,32.63,11.58,26.52,LOC764246,L-gulonolactone oxidase,27136,1831,6.747494103773585,NW_022145606.1:13295096-13322232,ECB-GENEPAGE-23116154,L-gulono-gamma-lactone oxidase|LGO|Sp-Gulo|L-gulonolactone oxidase|SPU_020886|GLO,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:13321294-13369859,13.03,17.4,7.78,11.45,LOC115927596,L-gulonolactone oxidase-like,16804,15593,92.79338252796953,NW_022145606.1:13354266-13371070,ECB-GENEPAGE-23116159,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:16464820-16513101,13.06,18.44,7.8,12.62,LOC584513,nuclear receptor subfamily 2 group E member 1-like,21048,21048,100.0,NW_022145607.1:16491877-16512925,ECB-GENEPAGE-23125178,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:7014071-7057518,15.39,27.3,7.55,7.7,LOC100891156,uncharacterized LOC100891156,8560,8560,100.0,NW_022145601.1:7014221-7022781,ECB-GENEPAGE-23081043,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:7014071-7057518,15.39,27.3,7.55,7.7,LOC105439865,"NACHT, LRR and PYD domains-containing protein 5-like",7905,7905,100.0,NW_022145601.1:7031867-7039772,ECB-GENEPAGE-23081053,hypothetical protein-755; cryopyrin-like|Sp-Hypp_755|SPU_014495|hypothetical protein-755|cryopyrin-like,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:7058022-7058062,56.3,42.33,15.38,51.35,LOC580397,uncharacterized LOC580397,5695,40,0.7023705004389815,NW_022145601.1:7055518-7061213,ECB-GENEPAGE-23081057,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:7014071-7057518,15.39,27.3,7.55,7.7,LOC115924827,uncharacterized LOC115924827,6000,6000,100.0,NW_022145601.1:7024091-7030091,ECB-GENEPAGE-23081049,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:8881034-8923203,13.96,17.41,5.86,18.22,LOC115919011,target of EGR1 protein 1-like,4842,4142,85.54316398182569,NW_022145609.1:8880334-8885176,ECB-GENEPAGE-23132225,Sp-Toe1|SPU_012395|target of EGR1|member 1 (nuclear),partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:8881034-8923203,13.96,17.41,5.86,18.22,LOC586497,adenine DNA glycosylase,11869,11869,100.0,NW_022145609.1:8885511-8897380,ECB-GENEPAGE-23132230,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:8934990-8935055,60.14,87.34,12.66,54.54,LOC100893561,HEAT repeat-containing protein 1,31722,65,0.2049051131706702,NW_022145609.1:8920797-8952519,ECB-GENEPAGE-23132244,SPU_019589|Sp-Heatr1L|SPU_003721|HEAT repeat containing 1-like|Sp-Heatr1-2|SPU_010638|HEAT repeat containing 1-2,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:8881034-8923203,13.96,17.41,5.86,18.22,LOC115919014,jasmonoyl--L-amino acid synthetase GH3.5-like,16325,16325,100.0,NW_022145609.1:8904302-8920627,ECB-GENEPAGE-23132238,SPU_009724|Sp-GhdcL_6|SPU_005819|GH3 domain containing-like-6|auxin-responsive GH3 family protein,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:43760798-43801591,14.63,19.97,7.58,9.94,LOC115927464,proton-coupled folate transporter-like,3337,3337,100.0,NW_022145606.1:43762366-43765703,ECB-GENEPAGE-23120879,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:43760798-43801591,14.63,19.97,7.58,9.94,LOC115918903,proton-coupled folate transporter-like,7329,1570,21.42174921544549,NW_022145606.1:43755039-43762368,ECB-GENEPAGE-23120875,"Sp-Slc46a1L_7| solute carrier family 46, member 1-like-7|SPU_023917",partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:43760798-43801591,14.63,19.97,7.58,9.94,LOC115927465,proton-coupled folate transporter-like,21461,21461,100.0,NW_022145606.1:43769752-43791213,ECB-GENEPAGE-23120883,"Sp-Slc46a1L_3| solute carrier family 46, member 1-like-3|SPU_017008",partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:9991282-10001923,15.07,18.34,5.35,13.02,LOC752140,excitatory amino acid transporter 1-like,21063,1985,9.424108626501448,NW_022145609.1:9999938-10021001,ECB-GENEPAGE-23132507,Excitatory amino acid transporter 3 | Excitatory amino-acid carrier 1 |Sodium-dependent glutamate/aspartate transporter 3|Sp-Slc1a1|SPU_017965,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:10060319-10080009,20.74,22.32,7.94,14.14,LOC115918985,"solute carrier family 16 member 14, gene 16",20722,5462,26.358459608145935,NW_022145609.1:10045059-10065781,ECB-GENEPAGE-23132513," Sp-Slc16a14_16 | monocarboxylate transporter 14-like|SPU_017964|solute carrier family 16 member 14, gene 16|LOC115918985",partially curated,n/a,n/a,n/a,"Metabolism,Metabolism_Carbohydrate,Metabolism_Carbohydrate"
NW-022145607.1:25992383-26030090,36.76,51.7,12.55,34.07,LOC100892484,uncharacterized protein C6orf118,6521,2240,34.350559730102745,NW_022145607.1:25988102-25994623,ECB-GENEPAGE-23126976,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:25992383-26030090,36.76,51.7,12.55,34.07,LOC115928347,ribonuclease P protein subunit p21-like,1517,1517,100.0,NW_022145607.1:25998786-26000303,ECB-GENEPAGE-23126982,SPU_014733,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:25992383-26030090,36.76,51.7,12.55,34.07,LOC115928346,transcription initiation factor TFIID subunit 13-like,3344,3344,100.0,NW_022145607.1:26000354-26003698,ECB-GENEPAGE-23126986,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:28328896-28366043,71.6,38.8,27.65,13.28,LOC115924623,uncharacterized LOC115924623,12366,1418,11.466925440724568,NW_022145601.1:28364625-28376991,ECB-GENEPAGE-23085498,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:28324943-28326593,31.15,21.71,10.14,44.17,LOC593304,missing,5610,1650,29.411764705882355,NW_022145601.1:28323397-28329007,ECB-GENEPAGE-23175636,bent(bt)-like|projectin-like|Sp-ProjL| unc-22-like|SPU_013917|unc-22 (twitchin)-like|LOC110979570,partially curated,n/a,n/a,n/a,"Kinase,Kinase_CAMK,Kinase_CAMK"
NW-022145606.1:7467466-7504285,14.2,31.59,15.86,24.57,LOC100890450,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like,894,894,100.0,NW_022145606.1:7484079-7484973,ECB-GENEPAGE-23115184,SPU_023375,partially curated,n/a,n/a,KEGG:spu:100890450,n/a
NW-022145606.1:7467466-7504285,14.2,31.59,15.86,24.57,LOC115927562,uncharacterized LOC115927562,4620,4620,100.0,NW_022145606.1:7485447-7490067,ECB-GENEPAGE-23115188,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:17545587-17581896,15.16,17.15,6.89,16.65,LOC590696,collagen triple helix repeat-containing protein 1,5099,5099,100.0,NW_022145605.1:17549992-17555091,ECB-GENEPAGE-23108693,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:17545587-17581896,15.16,17.15,6.89,16.65,LOC115918799,collagen triple helix repeat-containing protein 1-like,4377,4377,100.0,NW_022145605.1:17559084-17563461,ECB-GENEPAGE-23108698,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:4648183-4680167,21.6,23.15,11.25,18.16,LOC105439905,low-density lipoprotein receptor-related protein 8-like,3404,3404,100.0,NW_022145609.1:4665914-4669318,ECB-GENEPAGE-23131297,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:4648183-4680167,21.6,23.15,11.25,18.16,LOC115919009,low-density lipoprotein receptor-related protein 8-like,15034,9231,61.40082479712652,NW_022145609.1:4642380-4657414,ECB-GENEPAGE-23131288,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:4648183-4680167,21.6,23.15,11.25,18.16,LOC594262,low-density lipoprotein receptor-related protein 4,29981,9972,33.26106534138288,NW_022145609.1:4670195-4700176,ECB-GENEPAGE-23131301,SPU_009930|Sp-Kiaa0840L|SPU_024988|KIAA0840 protein-like|SPU_016364|Sp-LrpL_6,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:25082509-25112883,18.28,20.82,7.46,12.82,LOC576747,ras-related protein Rab-39B,4303,4303,100.0,NW_022145607.1:25085185-25089488,ECB-GENEPAGE-23126767,n/a,partially curated,n/a,"GO:0003924,GO:0005525",n/a,n/a
NW-022145607.1:25082509-25112883,18.28,20.82,7.46,12.82,LOC115918949,solute carrier family 35 member F2-like,20184,20184,100.0,NW_022145607.1:25092328-25112512,ECB-GENEPAGE-23126773,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:27784962-27814334,13.8,20.91,6.16,16.11,LOC575362,TAR DNA-binding protein 43,10771,2688,24.95590010212608,NW_022145601.1:27811646-27822417,ECB-GENEPAGE-23085413,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:27759013-27761522,10.44,15.97,5.64,11.14,LOC587897,ATP-dependent translocase ABCB1,59300,2509,4.231028667790894,NW_022145601.1:27740087-27799387,ECB-GENEPAGE-23085405,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:14976337-14976341,82.75,43.0,43.25,52.5,LOC105439241,low-density lipoprotein receptor-related protein 4-like,16761,4,0.02386492452717618,NW_022145606.1:14973083-14989844,ECB-GENEPAGE-23116409,Sp-LrpL_2|SPU_005642|Sp-LrpL_7|SPU_025837,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:860172-887869,24.56,32.67,14.73,24.03,LOC115928222,uncharacterized LOC115928222,4261,4261,100.0,NW_022145607.1:869695-873956,ECB-GENEPAGE-23122486,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:860172-887869,24.56,32.67,14.73,24.03,LOC115928167,uncharacterized LOC115928167,666,666,100.0,NW_022145607.1:876988-877654,ECB-GENEPAGE-23122490,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:860172-887869,24.56,32.67,14.73,24.03,LOC105447055,uncharacterized LOC105447055,27492,4263,15.50632911392405,NW_022145607.1:883606-911098,ECB-GENEPAGE-23122498,Sp-Nlr179|SPU_015768|NACHT and LRR containing protein,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR"
NW-022145607.1:27414461-27417699,28.83,33.87,11.65,22.81,LOC100893783,L-cysteine desulfhydrase,11211,3238,28.882347694228883,NW_022145607.1:27412469-27423680,ECB-GENEPAGE-23127264,LOC110989149,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:27418294-27445978,32.39,26.83,20.67,18.54,LOC115927931,uncharacterized LOC115927931,2183,2183,100.0,NW_022145607.1:27436995-27439178,ECB-GENEPAGE-23127271,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:44423867-44451027,13.72,18.94,7.84,10.88,LOC575461,proton-coupled folate transporter,12603,1584,12.568436086646036,NW_022145606.1:44412848-44425451,ECB-GENEPAGE-23121034,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:44423867-44451027,13.72,18.94,7.84,10.88,LOC590484,proton-coupled folate transporter,18730,18730,100.0,NW_022145606.1:44428134-44446864,ECB-GENEPAGE-23121040,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:17976017-18001883,25.96,10.35,16.66,27.72,LOC115927267,proton-coupled folate transporter-like,1001,920,91.9080919080919,NW_022145606.1:18000963-18001964,ECB-GENEPAGE-23117097,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:17976017-18001883,25.96,10.35,16.66,27.72,LOC115927266,proton-coupled folate transporter-like,14656,14656,100.0,NW_022145606.1:17986299-18000955,ECB-GENEPAGE-23117091,SPU_010220,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:14244764-14270488,11.99,7.71,8.09,9.27,LOC105439693,tripartite motif-containing protein 45-like,2471,2471,100.0,NW_022145606.1:14246472-14248943,ECB-GENEPAGE-23116355,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:14244764-14270488,11.99,7.71,8.09,9.27,LOC115927603,E3 ubiquitin-protein ligase TRIM33-like,3054,3054,100.0,NW_022145606.1:14258550-14261604,ECB-GENEPAGE-23116359,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:25754424-25780037,6.02,14.92,6.82,12.59,LOC587737,sialin,12157,2980,24.5126264703463,NW_022145607.1:25745247-25757404,ECB-GENEPAGE-23126900,Sp-Slc17|SPU_016339|Solute carrier family 17,partially curated,n/a,n/a,n/a,"Metabolism,Metabolism_Carbohydrate,Metabolism_Carbohydrate"
NW-022145612.1:2446916-2447060,73.06,74.52,21.7,99.35,LOC592456,metaxin 2,6429,144,2.2398506766215585,NW_022145612.1:2445962-2452391,ECB-GENEPAGE-23156864,LOC592456|Sp-Mtx2|SPU_009547|metaxin 2|metaxin-2|LOC110976059,curated,n/a,n/a,KEGG:spu:592456,n/a
NW-022145612.1:2449812-2475230,13.92,22.26,6.82,23.26,LOC579955,coatomer subunit zeta-1,63901,21518,33.67396441370244,NW_022145612.1:2453712-2517613,ECB-GENEPAGE-23156870,n/a,partially curated,n/a,"GO:0000139,GO:0006890,GO:0015031,GO:0030126",n/a,n/a
